candidate_id,rank,score,reasoning
CAND_0098952,1,0.8572150000000001,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0052400,2,0.74630884101416,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0076412,3,0.6718476043783267,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0058152,4,0.6703841587182623,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0084681,5,0.6366668842443716,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0033987,6,0.614748765852249,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0088025,7,0.5991959415863752,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0076995,8,0.5749032540122512,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0095884,9,0.5517128176419005,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0079550,10,0.539084940224914,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0045862,11,0.5369661621897919,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0052712,12,0.5361591340753348,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0049978,13,0.5346351313576505,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0074325,14,0.5325562440476997,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0067403,15,0.5258761755817857,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0093401,16,0.5139757235976277,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0000273,17,0.5114844992188733,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0021827,18,0.510692951585847,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0029439,19,0.5044156546013591,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0013122,20,0.5024330788512568,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0022852,21,0.501039854879326,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
CAND_0064331,22,0.498406132963555,"Strong semantic alignment via MS-MARCO cross-encoder ranking, passing strict behavioral and experience signal thresholds."
